"[tag, prev_tag]",Probability
"['<s>', 'NNP']",0.004045295388512255
"['NNP', 'RB']",0.00013252910791748286
"['RB', 'JJ']",0.0011661861122844392
"['JJ', 'NN']",0.007502846824859077
"['NN', 'VBZ']",0.0005376248646427965
"['VBZ', 'RB']",0.0014042261590482717
"['RB', 'DT']",0.0007805182641273806
"['DT', 'NN']",0.007409168990930752
"['NN', 'POS']",0.0002713483986640529
"['POS', 'JJ']",0.0024046489880435507
"['NN', '.']",0.00111962914028205
"['.', '.']",0.008097691941280908
"['.', '</s>']",0.008003868416114552
"['<s>', 'NNS']",0.000610891752961335
"['NNS', 'IN']",0.004140711548589797
"['IN', 'NNS']",0.000655614528123285
"['IN', 'NNP']",0.0029152747135369667
"['NNP', 'NNP']",0.004590032518117699
"['NNP', 'WP']",6.141592805932132e-05
"['WP', 'VBD']",0.0035673747365007297
"['VBD', 'VBG']",0.0005340952233869358
"['VBG', '$']",0.00019035532994923857
"['$', '$']",0.006509234029669997
"['$', 'CD']",0.006576512934369429
"['CD', 'TO']",0.0003128893963430366
"['TO', '$']",0.00018246431084967547
"['CD', 'DT']",0.00024152865682620367
"['NN', 'VBD']",0.0007760057008523383
"['VBD', 'VBN']",0.0013127159707341557
"['VBN', 'WRB']",0.00012134817826047386
"['WRB', 'DT']",0.004493372275893057
"['VBD', 'IN']",0.0016795042566745816
"['NNP', 'CC']",0.0005495109352676119
"['CC', 'DT']",0.001837322474923031
"['DT', 'NNS']",0.0006257042058405216
"['NNS', 'VBD']",0.0009225795906507092
"['VBD', 'TO']",0.0009201881559558052
"['TO', 'NNP']",0.0009123215542483773
"['NNP', '.']",0.0006723427913862544
"['<s>', 'DT']",0.0047083364374580945
"['DT', 'MD']",2.0779844474408467e-05
"['MD', 'VB']",0.012251308900523561
"['VB', 'JJ']",0.0007521110389388398
"['NN', 'IN']",0.003937087746971422
"['CC', 'CD']",0.00030622041248717187
"['CD', 'JJ']",0.0006532252309617781
"['JJ', 'NNS']",0.002451284707318025
"['NNS', 'WP']",0.0001561847338503169
"['WP', 'IN']",0.00016215339711366953
